snapshot_date,source_period,source_updated_at,name,description,sector,sector_slug,stage,geography,commit_velocity_14d,commit_velocity_change,contributors,contributor_growth,new_repos_30d,signal_type,vc_scout_score,momentum_flag,top_driver,risk_flag,github_url,website_url,profile_url
2025-07-01,q3-2025,,ClickHouse,,Data Infrastructure,data-infrastructure,Growth,US,1824.0,-1.0,100.0,0.0,4.0,Infrastructure buildout,,,,,https://github.com/ClickHouse,,
2025-07-01,q3-2025,,FlaxEngine,,Gaming,gaming,Growth,Unknown,39.0,-54.0,89.0,30.0,0.0,Framework migration,,,,,https://github.com/FlaxEngine,,
2025-07-01,q3-2025,,LiteFarmOrg,,AgTech,agtech,Growth,Canada,65.0,38.0,65.0,0.0,0.0,Framework migration,,,,,https://github.com/LiteFarmOrg,,
2025-07-01,q3-2025,,NDLANO,,EdTech,edtech,Series A/B,Unknown,14.0,-48.0,38.0,0.0,0.0,Framework migration,,,,,https://github.com/NDLANO,,
2025-07-01,q3-2025,,OpenC3,,Space Tech,space-tech,Series A/B,US,57.0,39.0,45.0,0.0,0.0,Framework migration,,,,,https://github.com/OpenC3,,
2025-07-01,q3-2025,,OpenCTI-Platform,,Cybersecurity,cybersecurity,Growth,US,56.0,-47.0,100.0,0.0,0.0,Framework migration,,,,,https://github.com/OpenCTI-Platform,,
2025-07-01,q3-2025,,OpenOLAT,,EdTech,edtech,Seed,EU,138.0,24.0,15.0,25.0,0.0,Framework migration,,,,,https://github.com/OpenOLAT,,
2025-07-01,q3-2025,,ParabolInc,,Enterprise SaaS,enterprise-saas,Growth,US,18.0,-5.0,78.0,0.0,1.0,Framework migration,,,,,https://github.com/ParabolInc,,
2025-07-01,q3-2025,,PostHog,,Data Infrastructure,data-infrastructure,Growth,US,184.0,24.0,100.0,0.0,3.0,Infrastructure buildout,,,,,https://github.com/PostHog,,
2025-07-01,q3-2025,,VictoriaMetrics,,Data Infrastructure,data-infrastructure,Growth,US,96.0,10.0,100.0,0.0,0.0,Framework migration,,,,,https://github.com/VictoriaMetrics,,
2025-07-01,q3-2025,,airbytehq,,Data Infrastructure,data-infrastructure,Growth,US,721.0,-10.0,100.0,0.0,0.0,Framework migration,,,,,https://github.com/airbytehq,,
2025-07-01,q3-2025,,akto-api-security,,Cybersecurity,cybersecurity,Growth,US,111.0,-8.0,53.0,0.0,1.0,Framework migration,,,,,https://github.com/akto-api-security,,
2025-07-01,q3-2025,,andes,,Healthcare,healthcare,Series A/B,Unknown,5.0,-44.0,44.0,19.0,0.0,Framework migration,,,,,https://github.com/andes,,
2025-07-01,q3-2025,,atrocore,,Enterprise SaaS,enterprise-saas,Seed,EU,69.0,-21.0,18.0,0.0,0.0,Framework migration,,,,,https://github.com/atrocore,,
2025-07-01,q3-2025,,bagisto,,E-commerce Infrastructure,ecommerce-infrastructure,Growth,APAC,16.0,-24.0,100.0,0.0,0.0,Framework migration,,,,,https://github.com/bagisto,,
2025-07-01,q3-2025,,bakaphp,,Social & Community,social-community,Seed,LATAM,506.0,20.0,14.0,8.0,1.0,Framework migration,,,,,https://github.com/bakaphp,,
2025-07-01,q3-2025,,ballerina-platform,,Healthcare,healthcare,Seed,Unknown,281.0,-1.0,11.0,0.0,0.0,Framework migration,,,,,https://github.com/ballerina-platform,,
2025-07-01,q3-2025,,betagouv,,AgTech,agtech,Growth,EU,10.0,100.0,100.0,32.0,1.0,Framework migration,,,,,https://github.com/betagouv,,
2025-07-01,q3-2025,,castle-engine,,Gaming,gaming,Series A/B,Unknown,96.0,52.0,24.0,0.0,0.0,Framework migration,,,,,https://github.com/castle-engine,,
2025-07-01,q3-2025,,cilium,,Cybersecurity,cybersecurity,Growth,Unknown,153.0,-26.0,100.0,0.0,1.0,Framework migration,,,,,https://github.com/cilium,,
2025-07-01,q3-2025,,dagster-io,,Data Infrastructure,data-infrastructure,Growth,US,85.0,-61.0,100.0,19.0,1.0,Framework migration,,,,,https://github.com/dagster-io,,
2025-07-01,q3-2025,,dbt-labs,,Data Infrastructure,data-infrastructure,Growth,Unknown,320.0,-31.0,100.0,0.0,2.0,Framework migration,,,,,https://github.com/dbt-labs,,
2025-07-01,q3-2025,,debezium,,Data Infrastructure,data-infrastructure,Growth,Unknown,64.0,-29.0,100.0,35.0,0.0,Framework migration,,,,,https://github.com/debezium,,
2025-07-01,q3-2025,,ever-co,,HR Tech,hr-tech,Growth,US,31.0,-62.0,79.0,0.0,1.0,Framework migration,,,,,https://github.com/ever-co,,
2025-07-01,q3-2025,,fleetdm,,Cybersecurity,cybersecurity,Growth,Unknown,247.0,13.0,100.0,0.0,0.0,Framework migration,,,,,https://github.com/fleetdm,,
2025-07-01,q3-2025,,gravitational,,Cybersecurity,cybersecurity,Growth,US,150.0,-19.0,100.0,8.0,0.0,Framework migration,,,,,https://github.com/gravitational,,
2025-07-01,q3-2025,,hapifhir,,Healthcare,healthcare,Growth,Unknown,17.0,-11.0,100.0,79.0,0.0,Engineering hiring burst,,,,,https://github.com/hapifhir,,
